id,Text1,Text2,Class
150346,Some people are looking at the selections in an indoor food court.,There are people looking at eateries.,Duplicate
15280,A dog under a sheet.,The sheet is blue.,Neutral
6128,The software engineer performs load testing to assess system performance under high user traffic.,The infrastructure engineer optimizes server configurations for scalability and load balancing,Duplicate
265529,A snowboarder performs a trick by riding down the rail of a staircase.,Snowboarder flipping down staircase.,Conflict
457806,An elderly man wearing a tan shirt is sitting next to a tennis court.,An elderly man wearing a tan shirt is sitting next to a tennis court while a team plays.,Neutral
302478,The bird leans over to a small piece of food.,The bird is outdoors.,Duplicate
126052,A girl in a white shirt and skirt playing tennis.,A girl wants to be like Serena Williams.,Neutral
95304,Two men in blue and black vests are being pulled in rafts through the water.,The men are wearing vests.,Duplicate
507195,A woman in a blue sports outfit is about to hit a tennis ball.,A woman wearing a blue sports outfit is playing tennis.,Neutral
187161,two men throwing a rug in the air Two humans and a rug..,A man standing and putting dreads in a women 's hair while she stairs off into the distance.,Duplicate
132090,"A man wearing sunglasses , headphones and a dark coat is walking down the street.",A man is walking.,Duplicate
74566,"A young man , barefoot along side the beach , prunes a tree.",The man is using a tool.,Duplicate
79846,A young boy wearing a bathing suit and rash guard runs into the ocean as the waves bubble up on the shore.,A young boy is at the beach training to become a lifeguard.,Neutral
431660,People are shopping in an open air market.,People are walking along the beach.,Conflict
505337,A young girl very intently painting a picture on an easel on a sunny day while holding a paint tray with multi color paints ready to be used.,A student is finishing her assignment for art class.,Neutral
399309,Six U.,S.soldiers stand in front of a foreign flag making obscene gestures.The flag belongs to Canada.,Neutral
430151,Man racing on a camel in a global race.,Man is riding a horse,Conflict
264220,The girl is swimming in sparkling greenish blue water.,The girl is swimming in the water.,Duplicate
502330,a man with glasses typing on the computer A man is using a dell computer..,Three young people play around in a public fountain.,Neutral
460521,"Two men wearing are standing over a sewer access point while wearing safety hat , ear protection and vests.",Two city workers are waiting by the sewer access point.,Duplicate
473076,a man taking a pizza out of an oven A pan is making a pizza..,a man taking a pizza out of an oven A man removes food from an oven.,Neutral
127265,A woman doing rock climbing.,The woman likes to exercise outdoors.,Neutral
185497,Group of girls waving to a crowd.,The girls are in a pageant.,Neutral
350205,Local electric worker stringing up some wiring.,The person is fixing wiring,Neutral
78727,women in a blue shirt laughing.,women crying,Conflict
402708,Several men and women are enjoying food outdoors.,A young couple shares lunch in a diner.,Conflict
405271,"Two little boys , from the waist up , in a martial arts match , one delivering a punch and the other blocking.",Two boys are fighting,Duplicate
98260,Two smiling little blond girls in pink pants swing from a metal bar.,Two sisters swing from a metal bar.,Neutral
503419,A waterskier performs tricks.,A waterskier is inventing a new trick.,Neutral
106000,Man in blue coat is being pulled in a dog sled by two dogs.,Man in warm blue coat.,Neutral
110710,Two Asian girls in green and yellow band uniforms are facing each other.,Two girls face each other.,Duplicate
457215,Two women watching over a herd of goats in a rural setting.,two people oversee a group of animals outside.,Duplicate
330783,Two men are standing in uniforms ; one is giving a thumbs-up sign.,Two people have on uniforms.,Duplicate
23548,A race car kicks up dirt and dust on a gravel track.,A car kicks up debris while racing.,Duplicate
63578,This photo invites amazon turkers to gripe about first world problems.,Amazon Turkers never gripe about anything !,Conflict
84501,Man escaping a straitjacket while many people watch.,A group of women protest salary cuts.,Conflict
150742,"A young man with long hair , sunglasses and a blue shirt is using a welding machine.",A man is using a welding machine.,Duplicate
483926,Two women are looking out into a beautiful forest from a ledge.,The women are sisters.,Neutral
196253,A child is sleeping in a car.,There is a child asleep inside the vehicle.,Duplicate
485452,A young boy jumping and a young girl sitting in an inflatable pool.,A boy and girl are in the pool,Duplicate
239984,Soccer teams competing in a game.,People are playing baseball.,Conflict
329162,The soldier looks out the window as he sits with his legs crossed.,The soldier is watching children play outside.,Neutral
